brand,model,variant,locality,rto,fuel_type,transmission,seller_type,color,vehicle_age,odometer_reading,km_per_year,owner_count,certified,pincode,selling_price,split
honda,brio,s mt,s1 aditya residency appartment,ka-03,petrol,manual,dealer,unknown,13.0,61896.0,4761.2,1,1.0,,247000.0,train
hyundai,aura,sx plus amt,hebbal,ka-53,diesel,automatic,dealer,brown,4.0,19500.0,4875.0,1,1.0,562157.0,810000.0,train
maruti suzuki,swift,zxi plus amt,gandhi nagar,ka-51,petrol,automatic,dealer,unknown,2.0,39053.0,19526.5,1,1.0,560009.0,790600.0,train
volkswagen,polo,highline1.2l,5 floor building 5 floor building,ka-03,petrol,manual,dealer,red,13.0,77551.0,5965.5,3,1.0,560066.0,410000.0,train
maruti suzuki,ciaz,zxi,unknown,ka-53,petrol,manual,dealer,unknown,11.0,50000.0,4545.5,1,,,519000.0,train
honda,city,vx cvt,hebbal,ka-05,petrol,automatic,dealer,unknown,11.0,61000.0,5545.5,1,1.0,562157.0,588000.0,train
maruti suzuki,dzire,zxi,next to nisarga palace apartment,ka-01,petrol,manual,dealer,grey,12.0,48539.0,4044.9,2,1.0,560066.0,463000.0,train
maruti suzuki,celerio,zxi (o) amt,hebbal,ka-51,petrol,automatic,dealer,red,10.0,84000.0,8400.0,2,0.0,562157.0,364000.0,train
tata,zest,xms,yelahanka,gj-06,petrol,manual,dealer,beige,11.0,72162.0,6560.2,1,1.0,560097.0,210000.0,train
tata,tiago,revotron xm,malleshwaram,ka-53,petrol,manual,dealer,red,8.0,46500.0,5812.5,2,0.0,560003.0,352000.0,train
renault,triber,rxt,unknown,ka-19,petrol,manual,dealer,unknown,7.0,84521.0,12074.4,1,,,370000.0,train
hyundai,grand i10,sportz kappa,hebbal,ka-51,petrol,manual,dealer,red,9.0,109381.0,12153.4,2,1.0,560064.0,285000.0,train
hyundai,grand i10,sportz kappa,nexus shanti niketan mall,ka-45,petrol,manual,dealer,unknown,10.0,71500.0,7150.0,3,0.0,560066.0,340000.0,train
tata,altroz,xz plus (o) (s,bannerghatta,ka-03,petrol,manual,dealer,blue,2.0,26500.0,13250.0,1,1.0,560076.0,863000.0,train
volkswagen,polo,highline1.2l,hebbal,ka-22,petrol,manual,dealer,white,11.0,31000.0,2818.2,2,0.0,562157.0,471000.0,train
maruti suzuki,celerio,vxi amt,koramangala,ka-03,petrol,automatic,dealer,white,11.0,49645.0,4513.2,1,1.0,560034.0,305282.0,train
skoda,rapid,ambition mt,horamavu,tn-14,petrol,manual,dealer,blue,5.0,70085.0,14017.0,2,1.0,560066.0,701000.0,train
hyundai,grand i10,sportz kappa,whitefield,hr-26,petrol,manual,dealer,grey,13.0,36000.0,2769.2,1,0.0,560066.0,329000.0,train
hyundai,grand i10,sportz kappa,22 pg d souza nagar hosakerehalli kerekodi road bsk 3rd stage,ka-05,petrol,manual,dealer,white,10.0,65816.0,6581.6,4,1.0,560066.0,280000.0,train
volkswagen,taigun,highline mt,unknown,ka-05,petrol,manual,dealer,unknown,4.0,50511.0,12627.8,1,,,807000.0,train
hyundai,eon,magna +,gandhi nagar,ka-51,petrol,manual,dealer,white,8.0,84569.0,10571.1,1,1.0,560009.0,228471.0,train
hyundai,venue,sx imt,unknown,ka-04,petrol,manual,dealer,unknown,6.0,44620.0,7436.7,1,1.0,,679194.0,train
tata,nexon ev,xz plus dark edition,unknown,ka-01,electric,automatic,unknown,unknown,4.0,76000.0,19000.0,1,,,875000.0,train
skoda,kodiaq,style 4x4 at,koramangala,ka-51,diesel,automatic,dealer,white,9.0,100397.0,11155.2,2,1.0,560034.0,1416500.0,train
tata,punch,creative mt,hebbal,ka-44,petrol,manual,dealer,white,4.0,104764.0,26191.0,1,1.0,560064.0,626193.0,train
hyundai,venue,s,nisarga layout nisarga layout,ka-51,petrol,manual,dealer,unknown,4.0,38013.0,9503.2,1,1.0,,723000.0,train
maruti suzuki,ritz,vxi,535 1st main 2 cross muthyala nagar matthikere 535 2nd floor,ka-04,petrol,manual,dealer,unknown,13.0,90417.0,6955.2,1,1.0,,295000.0,train
renault,kwid,rxt,yeshwanthpur,ka-02,petrol,manual,dealer,red,1.0,22346.0,22346.0,1,1.0,560022.0,470000.0,train
hyundai,xcent,s,hebbal,ka-04,petrol,manual,dealer,unknown,9.0,12760.0,1417.8,1,1.0,560064.0,403697.0,train
maruti suzuki,eeco,5 str with a/c+htr,varanasi,ka-53,petrol,manual,dealer,grey,7.0,41025.0,5860.7,2,1.0,560066.0,422000.0,train
hyundai,grand i10,sportz kappa,malleshwaram,wb-02,petrol,manual,dealer,grey,12.0,52000.0,4333.3,1,0.0,560003.0,356000.0,train
hyundai,xcent,sx,bannerghatta,ka-64,diesel,manual,dealer,white,11.0,126500.0,11500.0,1,0.0,560076.0,380000.0,train
hyundai,i10,magna kappa2,whitefield,ka-51,petrol,manual,dealer,unknown,13.0,103000.0,7923.1,1,0.0,560066.0,225000.0,train
maruti suzuki,new wagon-r,zxi plus,unknown,ka-53,petrol,manual,unknown,unknown,1.0,6834.0,6834.0,1,,,686000.0,train
honda,brio,s(o) mt,whitefield,ka-03,petrol,manual,dealer,white,8.0,53458.0,6682.2,2,1.0,560066.0,371600.0,train
volkswagen,vento,highline,hebbal,ka-05,petrol,manual,dealer,unknown,12.0,91016.0,7584.7,1,1.0,560023.0,390000.0,train
honda,amaze,ex,nandini layout,ka-02,diesel,manual,dealer,silver,13.0,65807.0,5062.1,1,1.0,560066.0,340000.0,train
maruti suzuki,a-star,vxi,whitefield,ka-01,petrol,automatic,dealer,white,13.0,69144.0,5318.8,2,1.0,560066.0,250000.0,train
chevrolet,beat,lt,jamia masjid kh ranganatha colony,ka-03,petrol,manual,dealer,white,12.0,103719.0,8643.2,3,1.0,560066.0,160000.0,train
honda,city,v mt,unknown,ka-51,cng,manual,unknown,unknown,14.0,94680.0,6762.9,1,,,310000.0,train
tata,nexon,xza plus (o) dark edition,hebbal,ka-05,petrol,automatic,dealer,unknown,5.0,36153.0,7230.6,1,1.0,560064.0,889000.0,train
tata,tigor,xza plus,gandhi nagar,ka-03,petrol,automatic,dealer,blue,4.0,57546.0,14386.5,2,1.0,560009.0,496076.0,train
volkswagen,polo,comfortline,mysore road,ka-03,petrol,manual,dealer,white,13.0,53000.0,4076.9,1,0.0,560039.0,417000.0,train
kia,sonet,htx at,devarachikkana halli,ka-51,diesel,automatic,dealer,unknown,4.0,26748.0,6687.0,2,1.0,,1060000.0,train
renault,duster,rxl,whitefield,ka-03,petrol,manual,dealer,silver,11.0,42733.0,3884.8,1,1.0,560066.0,410000.0,train
maruti suzuki,dzire,vxi at,koramangala,ka-05,petrol,automatic,dealer,white,12.0,84580.0,7048.3,2,1.0,560034.0,292616.0,train
hyundai,i20,era,yeshwanthpur,ka-04,petrol,manual,dealer,unknown,12.0,50804.0,4233.7,1,1.0,560022.0,322335.0,train
hyundai,verna,sx plus at,unknown,unknown,petrol,automatic,unknown,unknown,7.0,49500.0,7071.4,1,,,904000.0,train
renault,duster,rxl,peenya,ka-51,petrol,manual,dealer,black,10.0,58871.0,5887.1,2,1.0,560066.0,500000.0,train
tata,bolt,xt revotron,hebbal,ka-17,petrol,manual,dealer,silver,11.0,82209.0,7473.5,2,1.0,560064.0,225000.0,train
hyundai,creta,s plus knight,battarahalli,ka-03,petrol,manual,dealer,unknown,4.0,68815.0,17203.8,1,1.0,560049.0,1200000.0,train
hyundai,eon,magna +,12 2nd cross psr apts,ka-53,petrol,manual,dealer,silver,14.0,156260.0,11161.4,4,1.0,560066.0,159000.0,train
maruti suzuki,alto k10,vxi (o) amt,hebbal,ka-20,petrol,automatic,dealer,unknown,8.0,47738.0,5967.2,1,1.0,560023.0,330000.0,train
hyundai,grand i10,asta at kappa,hebbal,ka-22,petrol,automatic,dealer,white,11.0,70883.0,6443.9,2,1.0,560064.0,343000.0,train
hyundai,verna,fluidic sx,gandhinagar,ka-04,petrol,manual,dealer,unknown,14.0,141503.0,10107.4,1,1.0,,338000.0,train
hyundai,i20,sportz,whitefield,ka-05,petrol,manual,dealer,unknown,8.0,98911.0,12363.9,1,1.0,560066.0,488885.0,train
hyundai,grand i10,sportz kappa,bellandur,ka-51,petrol,manual,dealer,grey,13.0,47923.0,3686.4,1,1.0,560103.0,394329.0,train
hyundai,i20,asta (o,nisarga layout chikkalasandra,ka-41,diesel,manual,dealer,blue,8.0,105759.0,13219.9,2,1.0,560066.0,580000.0,train
hyundai,verna,sx mt,hebbal,ka-16,petrol,manual,dealer,unknown,2.0,20500.0,10250.0,1,1.0,560103.0,1254000.0,train
renault,kwid,rxt,nexus shanti niketan mall,ka-53,petrol,manual,dealer,brown,9.0,47500.0,5277.8,2,0.0,560066.0,257000.0,train
hyundai,creta,sx executive,unknown,ka-50,petrol,manual,dealer,unknown,4.0,46509.0,11627.2,1,,,1004000.0,train
maruti suzuki,celerio,vxi amt,unknown,ka-03,petrol,automatic,unknown,unknown,11.0,61845.0,5622.3,1,,,331000.0,train
hyundai,grand i10 nios,sportz kappa,unknown,ka-03,petrol,manual,dealer,unknown,5.0,46500.0,9300.0,1,1.0,,536000.0,train
renault,kwid,rxt amt,unknown,ka-04,petrol,automatic,dealer,unknown,9.0,68500.0,7611.1,1,0.0,,294000.0,train
mahindra,xuv500,w6,hebbal,ka-17,diesel,manual,dealer,silver,10.0,100000.0,10000.0,1,0.0,562157.0,755000.0,train
tata,nexon,xz plus (s,nexus shanti niketan mall,ka-09,diesel,manual,dealer,white,3.0,47000.0,15666.7,1,1.0,560066.0,1063000.0,train
skoda,superb,style mt,unknown,ka-03,petrol,manual,dealer,white,7.0,85166.0,12166.6,2,1.0,,1404000.0,train
maruti suzuki,alto k10,vxi,ippadi kulumepalya,ka-53,petrol,manual,dealer,unknown,12.0,152926.0,12743.8,1,1.0,,200000.0,train
maruti suzuki,eeco,5 str with a/c+htr,koramangala,ka-04,petrol,manual,dealer,unknown,9.0,91404.0,10156.0,1,1.0,560034.0,371820.0,train
honda,city,v,whitefield,ka-05,petrol,manual,dealer,unknown,12.0,55500.0,4625.0,1,1.0,560066.0,554000.0,train
hyundai,i20,asta (o) mt,gandhi nagar,ka-01,diesel,manual,dealer,unknown,5.0,106158.0,21231.6,1,1.0,560009.0,747800.0,train
tata,nexon,fearless + sunroof amt,hebbal,ka-51,diesel,automatic,dealer,grey,3.0,95761.0,31920.3,1,1.0,560064.0,1048000.0,train
hyundai,creta,sx,unknown,ka-05,petrol,manual,dealer,unknown,3.0,29922.0,9974.0,1,,,1369741.0,train
nissan,micra,xv cvt,whitefield,ka-06,petrol,automatic,dealer,unknown,11.0,132500.0,12045.5,1,0.0,560066.0,315000.0,train
renault,kwid,rxl,hebbal,ka-05,petrol,manual,dealer,green,9.0,64161.0,7129.0,2,1.0,560064.0,203100.0,train
maruti suzuki,wagon r,vxi,unknown,unknown,petrol,manual,unknown,unknown,13.0,51000.0,3923.1,1,,,296000.0,train
hyundai,aura,s amt,whitefield,ka-04,cng,automatic,dealer,blue,6.0,107451.0,17908.5,2,1.0,560066.0,400447.0,train
maruti suzuki,wagon r,vxi ags,bannerghatta,ka-04,petrol,automatic,dealer,silver,6.0,38589.0,6431.5,1,1.0,560076.0,540000.0,train
tata,nano,twist xt,gandhi nagar,ka-22,petrol,manual,dealer,red,11.0,51869.0,4715.4,1,1.0,560009.0,137100.0,train
hyundai,i20,asta,hebbal,ka-04,petrol,manual,dealer,unknown,8.0,34000.0,4250.0,2,1.0,562157.0,588000.0,train
tata,safari,xza plus,whitefield,ka-09,diesel,automatic,dealer,blue,5.0,129005.0,25801.0,1,1.0,560066.0,1160400.0,train
renault,kwid,climber,unknown,ka-51,petrol,manual,dealer,unknown,3.0,57000.0,19000.0,1,1.0,,440000.0,train
mahindra,xuv700,ax 7 luxury d at 7 str,hebbal,ka-02,diesel,automatic,dealer,blue,2.0,61742.0,30871.0,1,1.0,560064.0,2047258.0,train
renault,kwid,climber amt,mysore road,ka-09,petrol,automatic,dealer,unknown,3.0,34000.0,11333.3,2,1.0,560039.0,442000.0,train
tata,punch,creative amt,unknown,ka-03,petrol,automatic,dealer,unknown,4.0,19500.0,4875.0,1,1.0,,681000.0,train
tata,nexon,xm,whitefield,ka-53,petrol,manual,dealer,red,7.0,46738.0,6676.9,2,1.0,560066.0,509034.0,train
hyundai,xcent,base,best county 2 behind sai mandir,ka-05,petrol,manual,dealer,white,11.0,49731.0,4521.0,2,1.0,,398000.0,train
nissan,micra,xv,bannerghatta,ka-51,petrol,manual,dealer,white,13.0,37000.0,2846.2,1,0.0,560076.0,298000.0,train
hyundai,creta,creta sx (o) ivt,hebbal,ka-03,petrol,automatic,dealer,red,2.0,9651.0,4825.5,1,1.0,560064.0,1770000.0,train
tata,nexon,xza plus (o,gandhi nagar,ka-04,petrol,automatic,dealer,unknown,6.0,71498.0,11916.3,1,1.0,560009.0,658200.0,train
kia,sonet,htk imt,gandhi nagar,ka-01,diesel,manual,dealer,grey,3.0,88942.0,29647.3,1,1.0,560009.0,685500.0,train
maruti suzuki,brezza,zxi s,unknown,ka-05,cng,manual,unknown,unknown,3.0,41050.0,13683.3,1,,,916000.0,train
renault,kwid,rxt amt,hebbal,ka-51,petrol,automatic,dealer,silver,4.0,35500.0,8875.0,2,0.0,562157.0,404000.0,train
maruti suzuki,baleno,alpha cvt,unknown,ka-03,petrol,automatic,dealer,unknown,8.0,59893.0,7486.6,1,1.0,,557086.0,train
mahindra,scorpio n,z8 l at 2wd 6 str,unknown,unknown,diesel,automatic,unknown,unknown,3.0,33000.0,11000.0,1,,,1886000.0,train
maruti suzuki,ertiga,zxi,magadi road tv,ka-05,petrol,manual,dealer,blue,4.0,7738.0,1934.5,1,1.0,560091.0,990000.0,train
jeep,compass,longitude (o,hebbal,ka-03,diesel,manual,dealer,unknown,9.0,85899.0,9544.3,1,1.0,560064.0,741500.0,train
mahindra,thar,lx ht 4wd at,unknown,ka-03,petrol,automatic,unknown,unknown,4.0,15414.0,3853.5,1,,,1200000.0,train
maruti suzuki,baleno,alpha,marathahalli,ka-50,diesel,manual,dealer,silver,10.0,160896.0,16089.6,2,0.0,560037.0,500000.0,train
mahindra,tuv300,t8,nagapura,ka-02,diesel,manual,dealer,silver,10.0,76127.0,7612.7,2,1.0,560066.0,557000.0,train
maruti suzuki,s presso,vxi plus amt,settl minori settl minori,ka-16,petrol,automatic,dealer,unknown,4.0,24647.0,6161.8,1,1.0,,470000.0,train
maruti suzuki,celerio,zxi amt,yeshwanthpur,ka-04,petrol,automatic,dealer,unknown,8.0,18392.0,2299.0,1,1.0,,390000.0,train
bmw,x1,sdrive18i m sport,unknown,ka-51,petrol,automatic,dealer,unknown,2.0,25500.0,12750.0,1,0.0,,4340000.0,train
maruti suzuki,baleno,alpha,unknown,dl-5,petrol,manual,dealer,unknown,10.0,62000.0,6200.0,1,1.0,,510000.0,train
maruti suzuki,vitara brezza,vdi amt,whitefield,ka-01,diesel,automatic,dealer,white,8.0,112192.0,14024.0,1,1.0,560066.0,697000.0,train
maruti suzuki,ertiga,zxi+ shvs,backside mahesh pu college shree ganapaty nilaya k k layout 3rd cross,ka-41,petrol,manual,dealer,white,5.0,36340.0,7268.0,1,1.0,560066.0,1100000.0,train
ford,figo,duratorq exi,mysore road,ka-05,diesel,manual,dealer,unknown,13.0,93500.0,7192.3,2,0.0,560039.0,229000.0,train
tata,nano,twist xt,whitefield,ka-03,petrol,manual,dealer,purple,11.0,39500.0,3590.9,3,0.0,560066.0,150000.0,train
ford,ecosport,titanium,hebbal,ka-03,diesel,manual,dealer,orange,12.0,113828.0,9485.7,2,1.0,560064.0,411600.0,train
maruti suzuki,alto,lxi,malleshwaram,wb-02,petrol,manual,dealer,unknown,12.0,37000.0,3083.3,1,0.0,560003.0,240000.0,train
maruti suzuki,alto k10,vxi,whitefield,ka-01,petrol,manual,dealer,white,10.0,18871.0,1887.1,1,1.0,560066.0,280000.0,train
mg,astor,sharp ex mt,26 opposite avalahalli bda park,ka-05,petrol,manual,dealer,red,4.0,28793.0,7198.2,1,1.0,560066.0,1150000.0,train
maruti suzuki,baleno,alpha cvt,whitefield,ka-05,petrol,automatic,dealer,white,5.0,32698.0,6539.6,2,1.0,560066.0,659110.0,train
renault,kiger,rxz amt,koramangala,ka-19,petrol,automatic,dealer,black,4.0,89107.0,22276.8,2,1.0,560034.0,515000.0,train
maruti suzuki,baleno,zeta,hebbal,ka-28,petrol,manual,dealer,unknown,10.0,74500.0,7450.0,1,1.0,562157.0,511000.0,train
hyundai,grand i10,sportz kappa,pai layout main road pai layout main road,ka-03,petrol,manual,dealer,white,11.0,72887.0,6626.1,2,1.0,560066.0,340000.0,train
volkswagen,vento,comfortline,rk hegde nagar,hr-51,diesel,manual,dealer,unknown,14.0,103852.0,7418.0,1,1.0,,135000.0,train
hyundai,i20,magna plus,kamakshipalya,ka-03,petrol,manual,dealer,unknown,7.0,50540.0,7220.0,1,1.0,,550000.0,train
maruti suzuki,new wagon-r,lxi,jyothi nagar nelamangala town,ts-08,cng,manual,dealer,unknown,5.0,134558.0,26911.6,1,1.0,,430000.0,train
maruti suzuki,baleno,zeta,vinayaka layout puttenahalli,ka-50,petrol,manual,dealer,silver,5.0,43553.0,8710.6,1,1.0,560064.0,700000.0,train
toyota,etios liva,g,ananth nagar amar residency,ka-51,petrol,manual,dealer,unknown,13.0,78554.0,6042.6,1,1.0,,310000.0,train
nissan,magnite,xv premium,whitefield,ka-53,petrol,manual,dealer,red,3.0,69400.0,23133.3,1,1.0,560066.0,619908.0,train
tata,tigor,xz,yeshwanthpur,ka-04,petrol,manual,dealer,unknown,2.0,7311.0,3655.5,1,1.0,560022.0,618280.0,train
honda,amaze,vx cvt,koramangala,ka-01,petrol,automatic,dealer,unknown,6.0,46782.0,7797.0,1,1.0,560034.0,604839.0,train
maruti suzuki,baleno,delta at,nexus shanti niketan mall,ka-53,petrol,automatic,dealer,unknown,9.0,42500.0,4722.2,1,1.0,560066.0,555000.0,train
tata,nano,lx,malleshwaram,ka-51,petrol,manual,dealer,orange,14.0,61500.0,4392.9,2,0.0,560003.0,110000.0,train
maruti suzuki,ritz,vxi,hebbal,ka-25,petrol,manual,dealer,white,12.0,92624.0,7718.7,1,1.0,560064.0,278400.0,train
renault,scala,rxl,jp nagar,ka-51,diesel,manual,dealer,unknown,13.0,122696.0,9438.2,1,1.0,560078.0,327578.0,train
renault,triber,rxz amt,huskur main road,ka-35,petrol,automatic,dealer,unknown,6.0,53020.0,8836.7,1,1.0,,530000.0,train
hyundai,aura,s amt,unknown,ka-04,cng,automatic,dealer,unknown,6.0,107451.0,17908.5,1,1.0,,428247.0,train
maruti suzuki,ciaz,zxi+ at,whitefield,ka-05,petrol,automatic,dealer,brown,9.0,71900.0,7988.9,1,1.0,560066.0,546700.0,train
mahindra,kuv 100 nxt,k8 p 6 str,unknown,ka-05,petrol,manual,unknown,unknown,8.0,51258.0,6407.2,1,,,450000.0,train
volkswagen,taigun,gt plus dsg,whitefield,ka-06,petrol,automatic,dealer,white,3.0,42500.0,14166.7,1,1.0,560066.0,1355000.0,train
tata,nexon,xz plus (s,nexus shanti niketan mall,ka-09,diesel,manual,dealer,white,3.0,47500.0,15833.3,1,1.0,560066.0,1053000.0,train
tata,nexon,pure revotron 6mt,nexus shanti niketan mall,ka-05,petrol,manual,dealer,grey,2.0,39000.0,19500.0,2,0.0,560066.0,750000.0,train
maruti suzuki,dzire,vxi,unknown,ka-05,petrol,manual,unknown,unknown,2.0,14823.0,7411.5,1,,,661000.0,train
volkswagen,taigun,highline at,unknown,ka-01,petrol,automatic,dealer,unknown,3.0,9500.0,3166.7,1,1.0,,1245000.0,train
tata,nexon,xza plus sunroof,koramangala,ka-05,diesel,automatic,dealer,silver,5.0,93156.0,18631.2,1,1.0,560034.0,785728.0,train
tata,nexon,xz plus,gandhi nagar,ka-53,petrol,manual,dealer,green,4.0,29637.0,7409.2,1,1.0,560009.0,779500.0,train
skoda,rapid,ambition cr mt,jeevan bima nagar,ka-04,diesel,manual,dealer,black,14.0,139423.0,9958.8,2,1.0,560066.0,250000.0,train
maruti suzuki,s-presso,vxi+,marathahalli,ka-43,petrol,manual,dealer,silver,5.0,38227.0,7645.4,1,1.0,560037.0,411000.0,train
mahindra,xuv700,ax 7 luxury d at 7 str,hebbal,ka-02,diesel,automatic,dealer,blue,2.0,61742.0,30871.0,1,1.0,560064.0,2152258.0,train
hyundai,creta,sx plus at,malleshwaram,ka-03,petrol,automatic,dealer,unknown,9.0,147000.0,16333.3,1,0.0,560003.0,739000.0,train
kia,seltos,gtx plus at,unknown,ka-01,diesel,automatic,dealer,unknown,4.0,84000.0,21000.0,1,,,1335000.0,train
tata,nexon,xza plus sunroof,hebbal,ka-04,diesel,automatic,dealer,white,6.0,116060.0,19343.3,2,1.0,560064.0,642100.0,train
tata,tiago,xz,whitefield,ka-04,petrol,manual,dealer,unknown,8.0,34341.0,4292.6,1,1.0,560066.0,421253.0,train
ford,ecosport,titanium ti-vct,mysore road,ka-03,petrol,manual,dealer,silver,12.0,87500.0,7291.7,2,0.0,560039.0,376000.0,train
honda,wr-v,vx mt,whitefield,ka-03,petrol,manual,dealer,silver,9.0,76500.0,8500.0,1,1.0,560066.0,569000.0,train
ford,figo,duratec exi,unknown,unknown,petrol,manual,unknown,unknown,14.0,83500.0,5964.3,1,,,234000.0,train
honda,brio,vx mt,unknown,ka-03,petrol,manual,dealer,unknown,11.0,53226.0,4838.7,1,1.0,,331128.0,train
bmw,5 series,520d,indiranagar,dl-1,diesel,automatic,dealer,unknown,13.0,141188.0,10860.6,1,1.0,,836000.0,train
hyundai,grand i10,magna kappa,mysore road,ka-41,petrol,manual,dealer,grey,8.0,30000.0,3750.0,1,1.0,560039.0,487000.0,train
maruti suzuki,alto k10,vxi (o) amt,hebbal,ka-41,petrol,automatic,dealer,unknown,7.0,29516.0,4216.6,1,1.0,560023.0,308400.0,train
mahindra,xuv300,w8 (o,hebbal,ka-36,diesel,manual,dealer,unknown,5.0,85655.0,17131.0,2,1.0,560064.0,809000.0,train
ford,ecosport,titanium,hebbal,ka-01,diesel,manual,dealer,silver,8.0,78689.0,9836.1,2,1.0,560064.0,675097.0,train
renault,triber,rxz,whitefield,ka-04,petrol,automatic,dealer,brown,3.0,11098.0,3699.3,1,1.0,560066.0,710000.0,train
honda,amaze,sx,prerana international school konadasapura,ka-01,diesel,manual,dealer,red,12.0,124566.0,10380.5,2,1.0,560066.0,300000.0,train
renault,kiger,rxt mt,gandhi nagar,ka-01,petrol,manual,dealer,blue,2.0,19258.0,9629.0,1,1.0,560009.0,579900.0,train
audi,a4,tfsi,eastwood township,ka-51,petrol,automatic,dealer,silver,15.0,93972.0,6264.8,2,1.0,560066.0,824000.0,train
tata,nexon,xz plus (o,whitefield,ka-05,petrol,manual,dealer,green,5.0,41663.0,8332.6,2,1.0,560066.0,750000.0,train
honda,city,v mt,nexus shanti niketan mall,ka-03,petrol,manual,dealer,silver,13.0,76500.0,5884.6,2,0.0,560066.0,352000.0,train
mahindra,thar,lx ht 4wd at,whitefield,ka-03,petrol,automatic,dealer,black,5.0,29289.0,5857.8,1,1.0,560066.0,1175100.0,train
hyundai,accent,gle,rt nagar,ka-03,petrol,manual,dealer,silver,26.0,86061.0,3310.0,3,1.0,560066.0,102000.0,train
maruti suzuki,swift,zdi plus,hebbal,ka-59,diesel,manual,dealer,white,7.0,91172.0,13024.6,1,1.0,560064.0,680000.0,train
tata,punch,adventure amt,unknown,ka-05,petrol,automatic,unknown,unknown,1.0,7218.0,7218.0,1,,,800000.0,train
maruti suzuki,wagon r,vxi,whitefield,ka-40,petrol,manual,dealer,silver,13.0,52605.0,4046.5,1,1.0,560066.0,259400.0,train
honda,br-v,vx,unknown,ka-03,petrol,manual,dealer,unknown,7.0,85000.0,12142.9,1,1.0,,703000.0,train
mahindra,xuv700,ax 3 at 5 str,unknown,ka-03,petrol,automatic,dealer,unknown,4.0,62500.0,15625.0,1,0.0,,1163000.0,train
honda,city,zx cvt,blessed habitat 60b blessed habitat 60b,ka-25,petrol,automatic,dealer,white,9.0,31859.0,3539.9,2,1.0,,720000.0,train
honda,city,vx cvt,nexus shanti niketan mall,ka-01,petrol,automatic,dealer,white,10.0,75000.0,7500.0,2,1.0,560066.0,567000.0,train
hyundai,i10,magna,unknown,ka-05,petrol,manual,dealer,grey,12.0,49539.0,4128.2,2,1.0,,320000.0,train
ford,ecosport,titanium + at,yeshwanthpur,ka-03,petrol,automatic,dealer,brown,7.0,37556.0,5365.1,1,1.0,560022.0,673000.0,train
hyundai,eon,magna + airbag,hebbal,ka-01,petrol,manual,dealer,white,9.0,45474.0,5052.7,1,1.0,560023.0,296374.0,train
kia,seltos,htx ivt,gandhi nagar,ka-05,petrol,automatic,dealer,black,6.0,63611.0,10601.8,1,1.0,560009.0,900000.0,train
honda,jazz,v at,unknown,ka-25,petrol,automatic,unknown,unknown,10.0,80490.0,8049.0,1,,,458000.0,train
hyundai,grand i10 nios,asta amt kappa,kalkere,ka-03,petrol,automatic,dealer,green,2.0,14328.0,7164.0,1,1.0,560066.0,850000.0,train
jeep,compass,longitude (o,taluk bommenahalli,mh-03,diesel,manual,dealer,grey,8.0,39038.0,4879.8,1,1.0,560010.0,821000.0,train
maruti suzuki,ciaz,delta mt,unknown,ka-04,petrol,manual,unknown,unknown,8.0,77648.0,9706.0,1,,,588839.0,train
hyundai,fluidic verna 4s,s (o) at,bannerghatta,ka-03,petrol,automatic,dealer,red,11.0,78000.0,7090.9,2,0.0,560076.0,487000.0,train
maruti suzuki,vitara brezza,zdi plus ags,malleshwaram,dl-12,diesel,automatic,dealer,red,8.0,37000.0,4625.0,1,1.0,560003.0,821000.0,train
maruti suzuki,dzire,vxi (o,hebbal,ka-05,petrol,manual,dealer,unknown,10.0,60691.0,6069.1,1,1.0,560064.0,437903.0,train
skoda,rapid,ambition mt,yeshwanthpur,ka-51,petrol,manual,dealer,beige,10.0,53596.0,5359.6,1,1.0,560022.0,467652.0,train
ford,new figo,titanium at,hebbal,ka-20,petrol,automatic,dealer,white,10.0,63598.0,6359.8,2,1.0,560064.0,310294.0,train
maruti suzuki,baleno,alpha,unknown,ka-19,petrol,manual,dealer,unknown,9.0,105000.0,11666.7,1,0.0,,525000.0,train
mg,hector,sharp cvt,whitefield,ka-51,petrol,automatic,dealer,unknown,5.0,41702.0,8340.4,1,1.0,560066.0,1096774.0,train
mercedes-benz,e-class,e 220d exclusive,unknown,ka-01,diesel,automatic,dealer,unknown,6.0,40500.0,6750.0,1,0.0,,3750000.0,train
ford,figo,duratec zxi,malleshwaram,ka-05,petrol,manual,dealer,unknown,13.0,96500.0,7423.1,1,0.0,560003.0,215000.0,train
mg,hector,sharp dct,hsr layout,ka-03,petrol,automatic,dealer,black,5.0,36987.0,7397.4,1,1.0,560102.0,1500000.0,train
hyundai,i20,asta,rajajinagar,ka-02,petrol,manual,dealer,white,8.0,49179.0,6147.4,1,1.0,560010.0,600000.0,train
mahindra,xuv 300,w8 (o,bannerghatta,ka-03,diesel,manual,dealer,white,4.0,33000.0,8250.0,1,1.0,560076.0,1018000.0,train
honda,br-v,s,unknown,ka-03,petrol,manual,dealer,unknown,10.0,123761.0,12376.1,1,,,590000.0,train
honda,amaze,vx mt,hebbal,ka-03,petrol,manual,dealer,grey,3.0,40000.0,13333.3,1,1.0,562157.0,786000.0,train
maruti suzuki,baleno,zeta,1st main 5th cross,ka-02,petrol,manual,dealer,blue,7.0,107592.0,15370.3,1,1.0,560066.0,575000.0,train
hyundai,i20,asta,hebbal,ka-05,petrol,manual,dealer,silver,9.0,71500.0,7944.4,1,0.0,562157.0,557000.0,train
