brand,model,variant,locality,rto,fuel_type,transmission,seller_type,color,vehicle_age,odometer_reading,km_per_year,owner_count,certified,pincode,selling_price
maruti suzuki,alto,vxi,hebbal,ka-04,petrol,manual,dealer,red,9.0,101500.0,11277.8,1,0.0,562157.0,260000.0
renault,kiger,rxl mt,whitefield,ka-51,petrol,manual,dealer,unknown,5.0,37833.0,7566.6,1,1.0,560066.0,443508.0
hyundai,grand i10 nios,sportz amt kappa,unknown,ka-04,petrol,automatic,dealer,unknown,7.0,34098.0,4871.1,1,,,530000.0
hyundai,verna,fluidic,hebbal,ka-02,petrol,manual,dealer,unknown,11.0,109359.0,9941.7,1,1.0,560023.0,390000.0
maruti suzuki,baleno,sigma,gandhi nagar,ka-03,petrol,manual,dealer,red,9.0,93312.0,10368.0,1,1.0,560009.0,420000.0
ford,freestyle,titanium tdci,mysore road,ka-01,diesel,manual,dealer,unknown,8.0,141000.0,17625.0,1,0.0,560039.0,477000.0
maruti suzuki,celerio,vxi,weaver colony weaver colony,dl-12,cng,manual,dealer,silver,8.0,76806.0,9600.8,3,1.0,560003.0,259329.0
tata,nano,twist xt,whitefield,ka-01,petrol,manual,dealer,unknown,12.0,20000.0,1666.7,1,0.0,560066.0,172000.0
ford,classic,duratec titanium,gandhi nagar,ka-03,petrol,manual,dealer,grey,12.0,108292.0,9024.3,1,1.0,560009.0,235000.0
volkswagen,polo,highline1.2l,whitefield,ka-03,petrol,manual,dealer,unknown,9.0,55148.0,6127.6,2,1.0,560066.0,496400.0
maruti suzuki,dzire,vxi amt,bannerghatta,ka-01,petrol,automatic,dealer,red,7.0,75500.0,10785.7,1,1.0,560076.0,554000.0
renault,kwid,rxt amt (o,jp nagar,ka-19,petrol,automatic,dealer,red,7.0,30682.0,4383.1,2,1.0,560078.0,378000.0
mahindra,thar,lx hard top mt 4wd,bannerghatta,ka-51,petrol,manual,dealer,unknown,5.0,33500.0,6700.0,1,0.0,560076.0,990000.0
maruti suzuki,swift,zxi,unknown,ka-04,petrol,manual,unknown,unknown,20.0,91443.0,4572.2,1,,,170000.0
maruti suzuki,celerio,zxi amt,hebbal,ka-04,petrol,automatic,dealer,grey,4.0,36500.0,9125.0,1,1.0,562157.0,528000.0
hyundai,eon,sportz,malleshwaram,ka-03,petrol,manual,dealer,unknown,13.0,73000.0,5615.4,2,0.0,560003.0,211000.0
maruti suzuki,swift,zxi amt,whitefield,ka-04,petrol,automatic,dealer,white,6.0,86500.0,14416.7,1,1.0,560066.0,565000.0
maruti suzuki,baleno,alpha automatic,peenya,ka-01,petrol,automatic,dealer,red,6.0,50365.0,8394.2,2,1.0,560073.0,625000.0
honda,city,vx,whitefield,ka-04,petrol,manual,dealer,brown,11.0,79027.0,7184.3,1,1.0,560066.0,540000.0
hyundai,i20,sportz,whitefield,ka-03,petrol,manual,dealer,unknown,10.0,73712.0,7371.2,1,1.0,560066.0,448000.0
tata,safari,xz plus kaziranga,whitefield,ka-53,diesel,manual,dealer,beige,4.0,25241.0,6310.2,1,1.0,560066.0,1613285.0
maruti suzuki,alto,lxi,hebbal,ka-01,petrol,manual,dealer,red,12.0,41423.0,3451.9,2,1.0,560064.0,203600.0
maruti suzuki,alto,lxi,gandhi nagar,ka-42,petrol,manual,dealer,unknown,12.0,98877.0,8239.8,2,1.0,560009.0,160000.0
ford,ecosport,titanium ti-vct at,nexus shanti niketan mall,ka-03,petrol,automatic,dealer,unknown,11.0,62000.0,5636.4,1,0.0,560066.0,461000.0
volkswagen,taigun,topline at,hebbal,ka-20,petrol,automatic,dealer,unknown,4.0,43000.0,10750.0,1,1.0,562157.0,1282000.0
hyundai,creta,sx (o,unknown,ka-51,diesel,manual,unknown,unknown,9.0,31205.0,3467.2,1,,,808000.0
citroen,c3,feel,landmark roopa pr ovisional store back side,ka-51,petrol,manual,dealer,orange,4.0,73663.0,18415.8,1,1.0,560066.0,552000.0
hyundai,eon,magna +,hebbal,ka-03,petrol,manual,dealer,unknown,14.0,84500.0,6035.7,1,0.0,562157.0,216000.0
tata,punch,accomplished amt,nexus shanti niketan mall,ka-03,petrol,automatic,dealer,beige,4.0,48500.0,12125.0,1,1.0,560066.0,666000.0
kia,seltos,htx plus at1.5,kadavanthra 1st phase girinagar,ka-04,diesel,automatic,dealer,white,6.0,236385.0,39397.5,1,1.0,560066.0,1180000.0
kia,seltos,htx plus,hebbal,ka-41,diesel,manual,dealer,white,3.0,33844.0,11281.3,1,1.0,560023.0,1250622.0
kia,seltos,gtx plus at,hebbal,ka-05,diesel,automatic,dealer,red,3.0,43574.0,14524.7,1,1.0,560064.0,1490000.0
ford,figo aspire,titanium plus,hebbal,ka-51,petrol,manual,dealer,grey,7.0,88875.0,12696.4,1,1.0,560064.0,452068.0
maruti suzuki,alto k10,vxi plus,whitefield,ka-37,petrol,manual,dealer,grey,3.0,26000.0,8666.7,1,1.0,560066.0,454000.0
mg,hector,sharp,whitefield,ka-05,diesel,manual,dealer,red,6.0,52590.0,8765.0,1,1.0,560066.0,1200000.0
renault,scala,rxl,gandhi nagar,ka-03,diesel,manual,dealer,silver,12.0,69723.0,5810.2,1,1.0,560009.0,249800.0
maruti suzuki,ignis,delta amt,whitefield,ka-36,petrol,automatic,dealer,grey,8.0,69957.0,8744.6,2,1.0,560066.0,378400.0
hyundai,verna,sx o,whitefield,ka-51,petrol,manual,dealer,black,7.0,66834.0,9547.7,2,1.0,560066.0,760000.0
honda,amaze,s,whitefield,ka-03,petrol,manual,dealer,unknown,8.0,88500.0,11062.5,1,1.0,560066.0,398403.0
